Blend,*Blend*,블렌드 모드(blend mode)를 사용해서 두개의 소스 아이템을 합성
Color,*BrightnessContrast*,색상의 밝기(brightness)와 대비(contrast)를 조절
,*Colorize*,색상을 HSL 색 공간(color space)로 설정
,*ColorOverlay*,색상 레이어를 적용
,*Desaturate*,색상의 채도를 감소시킴
,*GammaAdjust*,휘도(luminance)를 조절
,*HueSaturation*,HSL 색 공간(color space)에서 색상 조절
,*LevelAdjust*,RGB 색 공간(color space)에서 색상 조절
Gradient,*ConicalGradient*,원뿔 형태의 그라데이션(conical gradient) 효과
,*LinearGradient*,선형 그라데이션(linear gradient) 효과
,*RadialGradient*,방사형 그라데이션(radial gradient) 효과
Distortion,*Displace*,소스 아이템의 픽셀을 정해진 변위(displacement) 소스에 따라 이동
Drop Shadow,*DropShadow*,그림자 효과
,*InnerShadow*,안쪽 방향의 그림자 효과
Blur,*FastBlur*,빠른 (렌더링 성능을 가진) blur 효과
,*GaussianBlur*,고품질의 blur 효과
,*MaskedBlur*,소스의 일부분에 적용하는 blur 효과
,*RecursiveBlur*,"강한 blur 효과를 주기 위한 반복적으로 blur 적용"
Motion Blur,*DirectionalBlur*,방향성을 가진 blur 효과
,*RadialBlur*,방사형 움직임을 가진 blur 효과
,*ZoomBlur*,확대/축소 동작(zoom)을 하는 듯한 효과를 주는 blur
Glow,*Glow*,외곽을 빛나게 해주는(outer glow) 효과
,*RectangularGlow*,사각형의 테두리를 빛나게 해주는(rectangular outer glow) 효과
Mask,*OpacityMask*,소스 아이템을 다른 아이템으로 마스크(mask)
,*ThresholdMask*,임계치를 가지고 마스크(mask) 효과를 적용
